global_id,orig_dim_id,title,author_org,year,current_version,source_type,authority_level,domain,url,primary_secondary,key_concepts,dims_referenced,notes
N001,dim05:S05; dim07:S07,ARIA Authoring Practices Guide (APG),W3C WAI,持续更新,活跃维护，31 patterns,Authoring guide,S,Accessibility,https://www.w3.org/WAI/ARIA/apg/,primary,"keyboard patterns, focus management, ""No ARIA better than bad ARIA"", 28+ 模式/键盘交互/states","05, 07","tabs/dialog/combobox/tree/grid 组件模式权威；框架无关行为契约语料库；dims: 05, 07"
N002,dim05:S06,Understanding SC 2.5.8: Target Size (Minimum),W3C WAI,2023,对应 WCAG 2.2,Understanding doc,S,Accessibility,https://www.w3.org/WAI/WCAG22/Understanding/target-size-minimum.html,primary,"24×24 CSS px, spacing exception",05,含 24px 圆相交判定法；dims: 05
N003,dim05:S04,WAI-ARIA 1.2,W3C ARIA WG,2023-06,W3C Recommendation,Normative spec,S,Accessibility,https://www.w3.org/TR/wai-aria-1.2/,primary,roles/states/properties,05,1.3 为 Editor's Draft（comment/mark/suggestion roles）；dims: 05
N004,dim05:S02,WCAG 3.0 (W3C Accessibility Guidelines),W3C AGWG,2021-2026,Working Draft（2026-03-03 第9版）,Draft spec,S,Accessibility,https://www.w3.org/TR/wcag-3.0/,primary,"outcomes, 非 pass/fail, 不废弃 2.x",05,奖牌制已弃；2028-2030 才可能定稿；Conflict Zone C3（Provisionally resolved，dim05 胜）：2026-03-03 WD 已放弃奖牌制/174 outcomes；入库强制日期戳，无日期戳的 WCAG 3.0 描述视为不可信；dims: 05
N005,dim05:S01,Web Content Accessibility Guidelines (WCAG) 2.2,W3C AGWG,2023 (errata 2024-12),W3C Recommendation（现行）,Normative spec,S,Accessibility,https://www.w3.org/TR/WCAG22/,primary,"POUR, A/AA/AAA, 9 new SC, 4.5:1/3:1/7:1, 24px target",05,已逐字核实新增 SC 列表、对比度、target size、motion 条文；dims: 05
N006,dim05:S11,Selecting Web Accessibility Evaluation Tools,W3C WAI,2024,现行,Guidance,S,Accessibility testing,https://www.w3.org/WAI/test-evaluate/tools/selecting/,primary,"""tools cannot determine accessibility""",05,自动化局限的官方立场；dims: 05
N007,dim02:S2-06,Technology Affordances (CHI '91),William Gaver / ACM,1991,—,conference paper,S,affordance 理论,dl.acm.org,primary,"false/hidden affordance, sequential affordance",02,修补 Norman/Gibson 分歧的经典；dims: 02
N008,dim02:S2-22,Failure to Detect Changes to People During a Real-World Interaction,Simons & Levin / Psychonomic Bulletin & Review 5(4),1998,—,journal paper,S,attention,https://www.apa.org/monitor/oct06/eyes（APA 报道）,primary,change blindness 门实验（8/15 未察觉）,02,生态效度高；dims: 02
N009,dim02:S2-21,Gorillas in Our Midst,Simons & Chabris / Perception 28(9),1999,—,journal paper,S,attention,—,primary,inattentional blindness,02,教科书级复制；dims: 02
N010,dim02:S2-19,On the Rate of Gain of Information / Stimulus Information as a Determinant of Reaction Time,W. E. Hick (1952) / R. Hyman (1953),1952/1953,—,journal papers,S,choice reaction time,https://hal.science/hal-02867301v1/document（HCI 适用性详考）,primary,RT = a + b·log₂(n+1)；熵而非选项数,02,Hyman 证明信息量是决定变量；dims: 02
N011,dim02:S2-04,"The Design of Everyday Things, Revised & Expanded",Don Norman / Basic Books,1988/2013,2013,book,S,design theory,https://jnd.org/,primary,"affordance/signifier, mapping, constraints, feedback, conceptual model, gulfs, 7 stages, slips/mistakes",02,2013 版正式引入 signifier；原级别标注 S(A+)（归入 S 组，细目保留）；dims: 02
N012,dim02:S2-03,A Mathematical Model of the Finding of Usability Problems (INTERCHI '93),Nielsen & Landauer / ACM,1993,—,conference paper,S,evaluation method,dl.acm.org,primary,"3–5 evaluators, λ≈0.31, 75%",02,"Poisson 规划估计非保证；Conflict Zone C6（Resolved，合并表述）：统一为""λ≈0.31，N=5 时约 75%，区间 2/3–85%，且为成本-收益规划估计而非定律""；dims: 02"
N013,dim08:R8-32,Considerations of complexity in rating certainty of evidence… (GRADE primer),BMJ Global Health,2019,journal article,peer-reviewed methodology,S,evidence hierarchy,https://gh.bmj.com/content/4/Suppl_1/e000848,primary,"初始级+5 降级域+3 升级域, EtD 框架",08,GRADE 官方方法学；dims: 08
N014,dim08:R8-33,GRADE: an emerging consensus on rating quality of evidence and strength of recommendations,Guyatt et al.,2008,BMJ 336:924,peer-reviewed methodology,S,evidence hierarchy,https://www.bmj.com/content/336/7650/924,primary,证据确定性 vs 推荐强度分离,08,GRADE 奠基文献；dims: 08
N015,dim08:R8-34,The Oxford 2011 Levels of Evidence (v2.1),OCEBM Working Group (Howick et al.),2011,v2.1 (current),official methodology,S,evidence hierarchy,https://www.cebm.ox.ac.uk/resources/levels-of-evidence/ocebm-levels-of-evidence,primary,"按问题类型分级, 质量升降级",08,官网已核验；dims: 08
N016,dim01:S13; dim01:S31,ISO 9241-210:2019 Human-centred design for interactive systems,ISO,2019,2019 Ed.2（2025-05-22 确认，90.93）,国际标准,S,HCD 过程,https://www.iso.org/standard/77520.html ; https://dps.gov.al/sq/project/show/iso:proj:77520,primary,"6 HCD 原则、4 活动循环、符合性检查单, 系统评审确认日期",01,系列核心过程标准；iso.org 同数据；dims: 01
N017,dim02:S2-18,Fitts' Law as a Research and Design Tool in HCI,I. S. MacKenzie / Human–Computer Interaction 7,1992,教程页持续更新,journal paper + tutorial,S,HCI 建模,https://www.yorku.ca/mack/hhci2018.html,primary,Shannon form、ISO 9241-9、2D 扩展,02,HCI 标准引用形态；dims: 02
N018,dim02:S2-24,Information Foraging,Pirolli & Card / Psychological Review 106(4),1999,Pirolli 2007 OUP 专著,journal paper,S,information seeking,https://www.researchgate.net/publication/229101074_Information_Foraging,primary,patch/scent/diet、SNIF-ACT,02,CHI '95 初版；链接选择方差解释 72–90%；dims: 02
N019,dim02:S2-10; dim03:S29,The Eyes Have It: A Task by Data Type Taxonomy (VL '96),Ben Shneiderman / IEEE,1996,—,conference paper,S,infovis,https://dl.acm.org/doi/10.5555/832277.834354 ; https://ieeexplore.ieee.org/document/545307/,primary,"Mantra + 7 tasks × 7 data types, overview first, zoom & filter, details-on-demand + relate/history/extract","02, 03","被引 9000+；9000+ 引用；level reconciled from S/A（cross-verification §5 裁决：原始同行评审论文=S，dim03 上调为 S；注意 M4：作者 2026 自述该 mantra 无实证，authority level ≠ 证据强度，需分开标注）；dims: 02, 03"
N020,dim02:S2-16,Cognitive Load Theory 系列（1988 起；2010 germane 重定义）,John Sweller et al.,1988–2019,—,journal papers/books,S,instructional design,—,primary,intrinsic/extraneous/germane、expertise reversal,02,语境为教学设计，UI 迁移需降权；dims: 02
N021,dim02:S2-09,Direct Manipulation: A Step Beyond Programming Languages (IEEE Computer),Ben Shneiderman / IEEE,1983,—,journal paper,S,interaction paradigm,https://doi.org/10.1109/MC.1983.1654471,primary,DM 三原则,02,经 arXiv:2310.03691 逐字引用核实；dims: 02
N022,dim07:S18,Introduction to Model-Based User Interfaces,W3C (MBUI XG),2014,W3C Note,标准化 Note,S,MBUI,https://www.w3.org/TR/mbui-intro/,primary,MBUI 概念框架,07,W3C 该方向最后产出；dims: 07
N023,dim02:S2-20,The Serial Position Effect of Free Recall,B. B. Murdock / J. Exp. Psychol.,1962,—,journal paper,S,memory,—,primary,primacy/recency、U 型曲线,02,UI 应用为弱外推；dims: 02
